row,year,month,date,value,counts,normalized
1,2016,Jan,Jan-16,crash,999,0.544944
2,2016,Feb,Feb-16,crash,827,0.061798
3,2016,Mar,Mar-16,crash,906,0.283708
4,2016,Apr,Apr-16,crash,937,0.370787
5,2016,May,May-16,crash,1161,1
6,2016,Jun,Jun-16,crash,985,0.505618
7,2016,Jul,Jul-16,crash,986,0.508427
8,2016,Aug,Aug-16,crash,963,0.44382
9,2016,Sep,Sep-16,crash,1081,0.775281
10,2016,Oct,Oct-16,crash,1132,0.918539
11,2016,Nov,Nov-16,crash,1053,0.696629
12,2016,Dec,Dec-16,crash,1071,0.747191
13,2017,Jan,Jan-17,crash,968,0.457865
14,2017,Feb,Feb-17,crash,862,0.160112
15,2017,Mar,Mar-17,crash,977,0.483146
16,2017,Apr,Apr-17,crash,949,0.404494
17,2017,May,May-17,crash,1060,0.716292
18,2017,Jun,Jun-17,crash,1016,0.592697
19,2017,Jul,Jul-17,crash,940,0.379213
20,2017,Aug,Aug-17,crash,972,0.469101
21,2017,Sep,Sep-17,crash,1056,0.705056
22,2017,Oct,Oct-17,crash,1131,0.91573
23,2017,Nov,Nov-17,crash,1065,0.730337
24,2017,Dec,Dec-17,crash,1107,0.848315
25,2018,Jan,Jan-18,crash,1038,0.654494
26,2018,Feb,Feb-18,crash,805,0
27,2018,Mar,Mar-18,crash,910,0.294944
28,2018,Apr,Apr-18,crash,859,0.151685
29,2018,May,May-18,crash,1042,0.66573
30,2018,Jun,Jun-18,crash,944,0.390449
31,2018,Jul,Jul-18,crash,973,0.47191
32,2018,Aug,Aug-18,crash,929,0.348315
33,2018,Sep,Sep-18,crash,1078,0.766854
34,2018,Oct,Oct-18,crash,1138,0.935393
35,2018,Nov,Nov-18,crash,1084,0.783708
36,2018,Dec,Dec-18,crash,1064,0.727528
