row,year,Column1,date,value,counts,normalized
1,2016,Jan,Jan-16,traffic,16675,0.192764
2,2016,Feb,Feb-16,traffic,19833,0.628832
3,2016,Mar,Mar-16,traffic,22521,1
4,2016,Apr,Apr-16,traffic,20999,0.789837
5,2016,May,May-16,traffic,18737,0.477492
6,2016,Jun,Jun-16,traffic,20057,0.659762
7,2016,Jul,Jul-16,traffic,17256,0.272991
8,2016,Aug,Aug-16,traffic,17699,0.334162
9,2016,Sep,Sep-16,traffic,16364,0.14982
10,2016,Oct,Oct-16,traffic,16801,0.210163
11,2016,Nov,Nov-16,traffic,16403,0.155206
12,2016,Dec,Dec-16,traffic,16413,0.156587
13,2017,Jan,Jan-17,traffic,16805,0.210715
14,2017,Feb,Feb-17,traffic,19239,0.54681
15,2017,Mar,Mar-17,traffic,18752,0.479564
16,2017,Apr,Apr-17,traffic,15279,0
17,2017,May,May-17,traffic,16217,0.129522
18,2017,Jun,Jun-17,traffic,15354,0.010356
19,2017,Jul,Jul-17,traffic,16163,0.122066
20,2017,Aug,Aug-17,traffic,16755,0.203811
21,2017,Sep,Sep-17,traffic,16963,0.232532
22,2017,Oct,Oct-17,traffic,16460,0.163076
23,2017,Nov,Nov-17,traffic,15812,0.073598
24,2017,Dec,Dec-17,traffic,15371,0.012704
25,2018,Jan,Jan-18,traffic,17595,0.319801
26,2018,Feb,Feb-18,traffic,18186,0.401408
27,2018,Mar,Mar-18,traffic,20001,0.65203
28,2018,Apr,Apr-18,traffic,22491,0.995857
29,2018,May,May-18,traffic,18115,0.391605
30,2018,Jun,Jun-18,traffic,16633,0.186965
31,2018,Jul,Jul-18,traffic,18180,0.40058
32,2018,Aug,Aug-18,traffic,18004,0.376277
33,2018,Sep,Sep-18,traffic,16868,0.219415
34,2018,Oct,Oct-18,traffic,18275,0.413698
35,2018,Nov,Nov-18,traffic,16833,0.214582
36,2018,Dec,Dec-18,traffic,17106,0.252278
